Ran 1000 trials (size 10×10, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 84, 1.0 ± 5.
Ran 1000 trials (size 15×15, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 350, 20.3 ± 42.
Ran 1000 trials (size 20×20, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 975, 112.9 ± 135.
Ran 1000 trials (size 25×25, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 1978, 319.2 ± 264.
Ran 1000 trials (size 30×30, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 3449, 541.3 ± 375.
Ran 1000 trials (size 35×35, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 0, 4754, 781.9 ± 492.
Ran 1000 trials (size 40×40, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 144, 4819, 1076.6 ± 675.
Ran 1000 trials (size 45×45, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 227, 6046, 1350.2 ± 799.
Ran 1000 trials (size 50×50, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 392, 6359, 1672.6 ± 943.
Ran 1000 trials (size 55×55, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 480, 8083, 1987.1 ± 1031.
Ran 1000 trials (size 60×60, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 493, 10652, 2392.5 ± 1298.
Ran 1000 trials (size 65×65, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 547, 12251, 2732.6 ± 1427.
Ran 1000 trials (size 70×70, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 689, 15470, 3200.7 ± 1776.
Ran 1000 trials (size 75×75, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 906, 15286, 3555.3 ± 1885.
Ran 1000 trials (size 80×80, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 862, 14183, 3959.1 ± 2133.
Ran 1000 trials (size 85×85, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 1164, 21098, 4643.6 ± 2503.
Ran 1000 trials (size 90×90, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 933, 19747, 4991.7 ± 2606.
Ran 1000 trials (size 95×95, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 1338, 21997, 5524.4 ± 2848.
Ran 1000 trials (size 100×100, density 0.010, threshold 0.900). Steps (min, max, mean±stddev): 1505, 23550, 6005.1 ± 3121.
